customer_id,customer_name,email,registration_date,customer_type
421,Melissa Johnson,jessicajenkins@example.org,2025-11-01 09:30:17,VIP
374,Samantha Morales,michaelkayla@example.net,2026-08-06 07:39:20,VIP
260,Isaac Martinez,clarkclaudia@example.org,2024-12-19 15:42:54,VIP
467,Gregory Hernandez,rogersshelby@example.org,2025-01-10 05:47:56,VIP
305,Erica Escobar,allenchristopher@example.org,2026-04-14 01:04:48,REGULAR
292,Justin Rodriguez,vmiller@example.com,2024-12-31 06:01:14,VIP
161,Haley Burns,matthew51@example.net,2024-10-08 14:11:53,VIP
269,Angie Diaz,bsantiago@example.org,2026-01-09 13:17:03,VIP
422,Norma Rivera,williamhoover@example.com,2026-03-23 02:44:32,PREMIUM
231,Thomas Roman,nicholaslee@example.org,2025-02-13 16:14:40,REGULAR
128,Andrew Garcia,mwalker@example.com,2026-04-18 11:11:50,VIP
6,Kristy Watts,martincherry@example.net,2025-06-06 13:50:00,REGULAR
178,Kathy Cordova,carlwallace@example.com,2025-07-23 16:46:32,REGULAR
261,Connor Carter,jonathanweeks@example.org,2024-09-18 10:21:49,PREMIUM
139,Jessica Harris,aaronphillips@example.org,2024-09-17 08:06:54,REGULAR
10,Miranda Gomez,darren18@example.net,2025-06-07 08:36:30,VIP
46,Emily Thomas,anthony35@example.com,2026-04-01 20:03:36,PREMIUM
138,Alexander Peterson,alisha22@example.net,2025-10-12 15:06:00,REGULAR
452,Matthew Leach,emily53@example.com,2025-06-10 04:42:47,REGULAR
287,Susan Boyer,ubaird@example.net,2026-04-01 16:21:39,VIP
94,Kevin Jones,changkrista@example.net,2024-12-30 00:08:49,PREMIUM
179,Joshua Davis,lewislinda@example.com,2025-03-30 12:04:44,VIP
31,Kenneth Larsen,adamsapril@example.org,2025-01-06 15:24:15,VIP
419,Emily Norris,steven33@example.com,2025-11-19 09:08:55,REGULAR
309,Gary Klein,christine73@example.org,2024-12-09 08:47:04,VIP
337,Andrea Martinez,tdavis@example.org,2025-03-18 16:14:02,PREMIUM
263,Joshua Cruz,benjamin38@example.net,2024-08-31 01:24:22,PREMIUM
101,Kyle Walsh,billy71@example.com,2025-01-26 18:23:55,PREMIUM
37,Andrew Clark,gmartin@example.net,2025-11-04 21:53:08,VIP
388,Jose Daugherty,meyerrichard@example.net,2025-11-27 02:43:49,PREMIUM
53,Megan Nguyen,davidharper@example.net,2024-09-22 12:31:53,PREMIUM
23,Robert Clark,katelyn45@example.org,2026-05-01 00:21:00,PREMIUM
97,Daniel Ritter,garrisonpaul@example.com,2025-11-20 06:42:17,REGULAR
252,Samantha Flores,denisehudson@example.com,2025-12-05 15:41:58,REGULAR
442,Charles Ward,jeff83@example.com,2026-03-20 14:57:08,REGULAR
391,James Simon,kennethyoung@example.net,2024-10-14 18:05:24,VIP
306,Barbara Mckee,joseph12@example.com,2024-12-15 03:35:49,VIP
69,Terrence Taylor Jr.,alexandria37@example.org,2025-07-03 02:01:44,PREMIUM
193,Jennifer Jackson,richardsheather@example.org,2025-04-27 17:12:01,PREMIUM
62,Sarah Smith,amyward@example.org,2026-05-13 20:41:47,REGULAR
344,Timothy Bradford,gonzalezjennifer@example.com,2025-04-28 11:20:40,REGULAR
497,Paul Rios,paigejohnson@example.org,2025-08-12 19:42:51,PREMIUM
483,Vincent Morris,laurablack@example.com,2026-01-10 18:54:10,VIP
490,Timothy Reed DVM,jessica43@example.net,2025-11-01 20:46:21,VIP
302,Joseph Morales,johnsonlisa@example.net,2026-03-15 10:03:35,PREMIUM
357,Sarah Smith,burnscarolyn@example.com,2026-02-05 00:04:41,REGULAR
319,Wesley Harrison,espinozajake@example.com,2026-06-02 01:33:35,REGULAR
417,Lindsay Malone,james29@example.net,2025-12-20 22:06:36,REGULAR
495,Nicholas Walsh,trowe@example.com,2025-10-17 23:36:02,REGULAR
381,Danielle Weber,hamiltonnicholas@example.com,2025-03-17 16:17:50,VIP
284,Bob Armstrong,cassandra71@example.net,2025-11-17 18:42:03,REGULAR
271,Michael Palmer,josephcombs@example.net,2026-07-28 18:36:58,REGULAR
3,Rose Wilcox,brandon96@example.net,2025-07-25 06:30:44,VIP
289,Anthony Smith DDS,brian72@example.net,2025-09-05 21:35:01,PREMIUM
43,Kristy Martinez,dawn96@example.com,2025-03-17 20:02:58,PREMIUM
424,Kelly Ortiz,bernardjoseph@example.com,2026-04-18 01:58:32,PREMIUM
393,Ashley Moore,deleongeorge@example.org,2026-03-26 06:19:18,PREMIUM
371,John Johnson,mturner@example.org,2024-12-19 17:30:34,VIP
310,Terry Olson,lowemichelle@example.net,2024-08-22 01:53:46,REGULAR
475,John Hernandez,zbaker@example.com,2025-05-20 20:24:19,PREMIUM
204,Kevin Sparks,millerkristina@example.com,2026-07-28 10:09:53,REGULAR
216,Joel Chavez,xjohnson@example.org,2024-09-12 05:06:08,REGULAR
217,Matthew Perez,kmorgan@example.com,2025-11-09 19:04:49,REGULAR
273,Deanna Perkins,alexandra91@example.net,2024-11-08 16:06:41,PREMIUM
471,Jennifer Miller,jessicacarroll@example.net,2024-11-28 02:03:53,REGULAR
498,Steven Wilkins,mwalker,2025-03-09 17:28:19,REGULAR
166,Cynthia Fox,michaeljennings@example.net,2026-07-05 17:00:26,REGULAR
454,Jesus Copeland,qvaldez@example.com,2024-12-24 01:56:15,PREMIUM
172,John Parrish II,marthacurry@example.org,2025-01-28 21:15:13,PREMIUM
285,Lindsay Mcdaniel,xanderson@example.com,2025-05-23 17:50:52,PREMIUM
296,David Mccarty,susan73@example.org,2025-01-12 21:15:00,PREMIUM
427,Jake Fritz,janet04@example.com,2025-03-07 07:42:09,REGULAR
241,Lee Henderson,jmarshall@example.com,2025-07-06 12:47:28,VIP
266,Omar Henderson,kevinlawrence@example.com,2025-02-12 02:25:43,PREMIUM
235,John Sharp,davidlindsey@example.net,2026-05-27 15:56:43,VIP
146,Travis Chase,christinemurray@example.org,2026-02-23 06:10:56,REGULAR
377,David Nelson,savannahgiles@example.net,2025-09-13 14:28:58,REGULAR
7,Whitney Rice,julia94@example.org,2026-07-10 17:34:35,REGULAR
395,Ryan Miller,brett24@example.com,2026-07-14 18:59:26,PREMIUM
77,Norman Castillo,bwilkins@example.net,2026-06-21 13:38:14,VIP
214,Pamela Owens,kenneth57@example.com,2024-09-02 00:53:44,VIP
42,Patrick Smith,kristin66@example.org,2025-05-02 05:45:01,REGULAR
162,Christine Evans,john65@example.org,2025-07-14 23:16:42,PREMIUM
48,Whitney Patton,stephaniegreer@example.net,2025-03-31 02:32:19,VIP
205,Shawn Ramos,vgarcia@example.org,2026-02-18 17:25:51,PREMIUM
127,Bryan Flowers,rachel99@example.com,2024-09-09 18:03:17,PREMIUM
175,Mark Long,christianfritz@example.net,2025-08-08 22:16:35,PREMIUM
54,Rachel Alexander,paulvelazquez@example.org,2024-09-26 11:14:06,REGULAR
49,Stephanie Weaver,tracywilliams@example.com,2024-10-31 05:51:43,PREMIUM
133,William Wright,susan52@example.com,2025-02-23 12:13:33,VIP
