customer_id,customer_name,email,registration_date,customer_type
226,Brenda Harmon,ibradshaw@example.net,2025-09-28 09:41:10,PREMIUM
216,Kimberly Watkins,reidamy@example.net,2024-09-07 09:43:16,REGULAR
348,Hunter Stewart,martinezkeith@example.net,2025-01-16 06:02:08,REGULAR
128,Leah Hernandez,jason46@example.net,2026-05-03 06:21:54,VIP
385,Kenneth Baker,garciabrent@example.net,2026-02-24 01:10:19,PREMIUM
93,Renee Schaefer,xmcgrath@example.com,2025-12-25 16:47:39,PREMIUM
474,Jennifer Mccann,eowens@example.net,2025-09-28 16:04:18,PREMIUM
140,James Williams,gregoryharvey@example.org,2024-08-17 22:20:02,REGULAR
202,Vanessa Stanley,peggy90@example.net,2025-01-11 18:07:06,VIP
189,Matthew Hudson,novaksavannah@example.net,2024-10-09 08:10:22,VIP
141,Andrew Wright,meltontaylor@example.org,2025-05-04 00:41:52,VIP
427,Nicole Cruz,sperez@example.org,2026-02-18 04:04:03,REGULAR
94,Jennifer Bolton,bernardking@example.net,2025-10-31 01:05:53,PREMIUM
148,Linda Smith,cassandrawhitney@example.org,2024-10-26 10:14:38,PREMIUM
487,Benjamin Reyes,patricia46@example.com,2026-02-17 12:37:14,PREMIUM
32,Michael Keith,mgriffin@example.net,2024-09-05 22:17:39,REGULAR
9,Mr. Earl Campbell,christopherhayes@example.org,2025-02-11 19:08:53,REGULAR
121,Tim Walker,brian45@example.net,2025-02-17 01:09:26,REGULAR
181,Kathryn Mendoza,eberger@example.net,2025-11-27 06:02:52,PREMIUM
248,Andrew Randall,taylorandrew@example.org,2024-12-03 01:05:52,REGULAR
490,James Fox,harrisbrittany@example.net,2026-07-16 05:01:42,VIP
268,Kylie Park,samuelblake@example.net,2026-03-31 23:52:30,PREMIUM
400,Paul Bonilla,christopherbrown@example.net,2026-01-04 12:35:37,PREMIUM
46,Yvonne Harris,erikwalker@example.com,2025-01-10 22:34:24,PREMIUM
379,Craig Moore,fwatkins@example.org,2026-03-06 11:54:34,PREMIUM
199,Christopher Gill DVM,tjackson@example.net,2025-12-23 20:13:21,REGULAR
38,Madeline Alvarez,kweiss@example.org,2025-10-21 12:08:20,PREMIUM
